,Position,Track Name,Artist,Streams
676,15,All The Stars (with SZA),Kendrick Lamar,14904298
677,24,Narcos,Migos,12517414
678,28,The Middle,Zedd,12200748
679,30,Walk It Talk It,Migos,11871747
680,45,Say Something,Justin Timberlake,10030315
681,49,Mine,Bazzi,9529305
682,51,EL BAÑO,Enrique Iglesias,9412949
683,54,Diplomatic Immunity,Drake,9109979
684,55,BBO (Bad Bitches Only),Migos,9035628
685,57,Dura,Daddy Yankee,8887504
686,60,Notice Me,Migos,8327068
687,62,"These Days (feat. Jess Glynne, Macklemore & Dan Caplen)",Rudimental,8111587
688,64,Machika,J Balvin,7958019
689,74,For You (Fifty Shades Freed) (& Rita Ora),Liam Payne,7157101
690,80,Gang Gang,Migos,6973684
691,81,Supastars,Migos,6939524
692,83,She Loves Control,Camila Cabello,6918334
693,84,My My My!,Troye Sivan,6876946
694,92,White Sand,Migos,6513207
695,114,Nowadays (feat. Landon Cube),Lil Skies,5533077
696,115,Miss You (with Major Lazer & Tory Lanez),Cashmere Cat,5526481
697,118,Solita,Ozuna,5476103
698,122,Emoji A Chain,Migos,5354839
699,123,Esperándote,Manuel Turizo,5326580
700,125,The Other Side,Hugh Jackman,5293816
701,126,Dembow,Danny Ocean,5278627
702,130,Higher We Go - Intro,Migos,5211916
703,134,"King's Dead (with Kendrick Lamar, Future & James Blake)",Jay Rock,5104211
704,139,Capital Letters,Hailee Steinfeld,5021689
705,141,Scooby Doo Pa Pa,Dj Kass,4932545
706,146,Breathe,Jax Jones,4864351
707,152,Auto Pilot,Migos,4789518
708,159,CC,Migos,4647065
709,164,KEKE,6ix9ine,4566519
710,166,Filthy,Justin Timberlake,4544744
711,173,Come Alive,Hugh Jackman,4331674
712,175,Barking,Ramz,4319886
713,182,Too Much Jewelry,Migos,4241959
714,183,Spotlight,Marshmello,4241286
715,184,From Now On,Hugh Jackman,4229412
716,188,Cara Italia,Ghali,4187081
717,189,Cupido (feat. Quavo),Sfera Ebbasta,4178358
718,2,Psycho (feat. Ty Dolla $ign),Post Malone,45142484
719,6,Pray For Me (with Kendrick Lamar),The Weeknd,22044744
720,7,FRIENDS,Marshmello,21497890
721,8,Look Alive (feat. Drake),BlocBoy JB,21284619
722,10,Amorfoda,Bad Bunny,20012260
723,15,Love Lies (with Normani),Khalid,17673376
724,40,44 More,Logic,10807964
725,42,Heaven,Julia Michaels,10190097
726,51,Want You Back,5 Seconds of Summer,8842580
727,53,The Ways (with Swae Lee),Khalid,8569785
728,57,X (with 2 Chainz & Saudi),ScHoolboy Q,8376464
729,64,Me Niego,Reik,7653019
730,80,You Owe Me,The Chainsmokers,6671953
731,86,BILLY,6ix9ine,6347537
732,90,RONDO,6ix9ine,6122294
733,99,Like I Do,David Guetta,5890600
734,105,Big Shot (with Travis Scott),Kendrick Lamar,5689347
735,107,Paramedic!,SOB X RBE,5678477
736,108,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)",Sofia Reyes,5677148
